===============================================================================
G-WAN ApacheBench / Weighttp / HTTPerf wrapper       http://gwan.ch/source/ab.c
-------------------------------------------------------------------------------
Now: Mon Sep 19 23:57:56 2016
CPU: 1 x 6-Core CPU(s) Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz
RAM: 0.66/31.32 (Free/Total, in GB)
OS : Linux x86_64 v#136-Ubuntu SMP Fri Jun 10 19:19:24 UTC 2016 3.13.0-89-generic
     Ubuntu 14.04.4 LTS \n \l
abc: max open sockets: 1000000

> Server 'nginx' process topology:
---------------------------------------------
  1] pid:2396 Process RAM: 7.43 MB
  0] pid:2395 Process RAM: 4.27 MB
---------------------------------------------
Total 'nginx' server footprint: 11.71 MB
/home/hzh/dynamorio/lib64/release/libdynamorio.so
<Application UNKNOWN (2407) DynamoRIO usage error : DYNAMORIO_EXE_PATH env var is not set.  Are you re-launching within gdb?>

weighttp -n 100000 -c [0-1000 step:10 rounds:3] -t 6 -k "http://127.0.0.1:80/index.html"

=> HTTP/1.1 200 OK
   Server: nginx/1.4.7
   Date: Mon, 19 Sep 2016 15:57:57 GMT
   Content-Type: text/html
   Content-Length: 612
   Last-Modified: Mon, 19 Sep 2016 09:00:05 GMT
   Connection: close
   ETag: "57dfa915-264"
   Accept-Ranges: bytes

 Number        Requests per second            CPU               RAM
   of     ----------------------------  ----------------  --------------
Clients      min       ave       max      user    kernel  SRV MB  SYS MB    Time
--------  --------  --------  --------  -------  -------  ------  ------  --------
      1,    43489,    44765,    45597,      70,     149,  12.54,    0.0,  23:58:03
     10,    40079,    43167,    45462,      76,     171,  12.54,    0.1,  23:58:10
     20,    41855,    44212,    45641,      70,     151,  12.54,    0.2,  23:58:17
     30,    44555,    45033,    45316,      74,     150,  12.54,    0.2,  23:58:24
     40,    44427,    44884,    45559,      68,     154,  12.54,    0.3,  23:58:31
     50,    44756,    45170,    45462,      72,     147,  12.54,    0.3,  23:58:38
     60,    45156,    45628,    46221,      69,     151,  12.54,    0.4,  23:58:44
     70,    43498,    44960,    45894,      68,     151,  12.54,    0.5,  23:58:51
     80,    45541,    45649,    45804,      68,     151,  12.54,    0.5,  23:58:58
     90,    44263,    45211,    45830,      76,     150,  12.54,    0.6,  23:59:04
    100,    45395,    45490,    45604,      63,     156,  12.54,    0.6,  23:59:11
    110,    45503,    45651,    45835,      76,     142,  12.54,    0.7,  23:59:18
    120,    45632,    45838,    46089,      67,     152,  12.77,    0.8,  23:59:24
    130,    45845,    45957,    46154,      76,     141,  12.77,    0.8,  23:59:31
    140,    46348,    46423,    46466,      78,     138,  12.77,    0.8,  23:59:38
    150,    43408,    45230,    46363,      66,     164,  12.77,    0.8,  23:59:44
    160,    44020,    44962,    46082,      71,     150,  12.77,    0.8,  23:59:51
    170,    44619,    45442,    46142,      71,     153,  12.77,    0.8,  23:59:58
    180,    44680,    45374,    46137,      72,     144,  12.77,    0.8,  00:00:05
    190,    44044,    45230,    46492,      71,     143,  12.77,    0.8,  00:00:11
    200,    45871,    45943,    45998,      76,     142,  12.77,    0.8,  00:00:18
    210,    44831,    45623,    46283,      76,     141,  12.77,    0.8,  00:00:25
    220,    44671,    45659,    46298,      68,     149,  12.77,    0.8,  00:00:32
    230,    44657,    45686,    46385,      66,     157,  12.77,    0.8,  00:00:38
    240,    46018,    46168,    46435,      70,     147,  12.77,    0.8,  00:00:45
    250,    45334,    46040,    46620,      70,     147,  12.77,    0.8,  00:00:52
    260,    45719,    46182,    46889,      70,     147,  12.77,    0.8,  00:00:58
    270,    43116,    44529,    45743,      71,     153,  12.77,    0.8,  00:01:05
    280,    44649,    45723,    46860,      72,     141,  12.77,    0.8,  00:01:12
    290,    45506,    45873,    46425,      72,     147,  12.77,    0.7,  00:01:19
    300,    44220,    45694,    46940,      73,     144,  12.77,    0.8,  00:01:25
    310,    43017,    44403,    45647,      68,     151,  12.77,    0.8,  00:01:32
    320,    46138,    46498,    46850,      67,     148,  12.79,    0.7,  00:01:39
    330,    45515,    45805,    46081,      65,     155,  12.79,    0.7,  00:01:46
    340,    45494,    46000,    46593,      74,     144,  12.79,    0.7,  00:01:52
    350,    44021,    45360,    46276,      68,     160,  12.80,    0.7,  00:01:59
    360,    43210,    44278,    45258,      74,     148,  12.79,    0.7,  00:02:06
    370,    44059,    45070,    45802,      75,     145,  12.79,    0.7,  00:02:13
    380,    43816,    45304,    46307,      75,     152,  12.79,    0.7,  00:02:20
    390,    45127,    46026,    46560,      73,     149,  12.79,    0.7,  00:02:26
    400,    45603,    46222,    46780,      64,     152,  12.79,    0.7,  00:02:33
    410,    46071,    46349,    46601,      75,     140,  12.79,    0.7,  00:02:40
    420,    46383,    46505,    46663,      62,     152,  12.79,    0.7,  00:02:46
    430,    46190,    46492,    46852,      65,     147,  12.79,    0.7,  00:02:53
    440,    44450,    45284,    46464,      71,     153,  12.83,    0.7,  00:03:00
    450,    45459,    45707,    45945,      70,     147,  12.79,    0.7,  00:03:07
    460,    44468,    45062,    45974,      72,     153,  12.83,    0.7,  00:03:13
    470,    45607,    45963,    46428,      69,     148,  12.81,    0.7,  00:03:20
    480,    44508,    45562,    46191,      75,     142,  12.79,    0.7,  00:03:27
    490,    42803,    44994,    46820,      78,     154,  12.85,    0.6,  00:03:34
    500,    43985,    44892,    45451,      69,     150,  12.79,    0.6,  00:03:41
    510,    45151,    45612,    46011,      74,     146,  12.81,    0.7,  00:03:48
    520,    43679,    45235,    46728,      72,     148,  12.79,    0.7,  00:03:54
    530,    38751,    40815,    41941,      72,     155,  12.84,    0.6,  00:04:02
    540,    41192,    43192,    45778,      68,     152,  12.79,    0.6,  00:04:09
    550,    31076,    36420,    42275,      58,     160,  12.79,    0.6,  00:04:18
    560,    29944,    33872,    40792,      73,     149,  12.82,    0.6,  00:04:27
    570,    29085,    29785,    30440,      60,     161,  12.85,    0.6,  00:04:38
    580,    28049,    28934,    29755,      85,     146,  12.82,    0.6,  00:04:48
    590,    28792,    29400,    30279,      75,     158,  12.85,    0.6,  00:04:59
    600,    29202,    29638,    30418,      71,     153,  12.80,    0.6,  00:05:09
    610,    29608,    30073,    30832,      67,     156,  12.79,    0.6,  00:05:19
    620,    27376,    29020,    30109,      75,     147,  12.85,    0.6,  00:05:30
    630,    28652,    29117,    29355,      61,     160,  12.85,    0.6,  00:05:41
    640,    28619,    29065,    29885,      76,     144,  12.80,    0.6,  00:05:51
    650,    26454,    28607,    30190,      66,     157,  12.86,    0.6,  00:06:02
    660,    27307,    27920,    28819,      70,     161,  12.87,    0.6,  00:06:13
    670,    28235,    29333,    30484,      71,     153,  12.88,    0.6,  00:06:24
    680,    27955,    28737,    29596,      68,     152,  12.84,    0.6,  00:06:34
    690,    28003,    29048,    30366,      70,     151,  12.86,    0.6,  00:06:45
    700,    28511,    29003,    29278,      75,     149,  12.87,    0.6,  00:06:56
    710,    28191,    28986,    30267,      69,     152,  12.84,    0.6,  00:07:06
    720,    27419,    28425,    29169,      70,     153,  12.86,    0.5,  00:07:17
    730,    27484,    28290,    28738,      59,     168,  12.86,    0.6,  00:07:28
    740,    28845,    29395,    30214,      68,     156,  12.84,    0.6,  00:07:39
    750,    28222,    28904,    29600,      86,     148,  12.84,    0.6,  00:07:49
    760,    28114,    28615,    29177,      82,     149,  12.88,    0.6,  00:08:00
    770,    27778,    28203,    28905,      78,     149,  12.91,    0.5,  00:08:11
    780,    28075,    28308,    28679,      84,     135,  12.87,    0.6,  00:08:22
    790,    28029,    28522,    29334,      68,     160,  12.86,    0.5,  00:08:33
    800,    27120,    28154,    28691,      68,     152,  12.86,    0.5,  00:08:44
    810,    28664,    29108,    29767,      81,     151,  12.88,    0.5,  00:08:55
    820,    14219,    22749,    27513,      66,     158,  12.83,    0.5,  00:09:09
    830,    14218,    23603,    28340,      75,     147,  12.90,    0.5,  00:09:24
    840,    27735,    27909,    28181,      76,     146,  12.89,    0.5,  00:09:35
    850,    26757,    27459,    28323,      72,     152,  12.92,    0.5,  00:09:46
    860,    14235,    23336,    28088,      71,     156,  12.86,    0.5,  00:10:01
    870,    14219,    22982,    27836,      76,     164,  12.89,    0.5,  00:10:15
    880,    27314,    28268,    29061,      72,     149,  12.93,    0.5,  00:10:26
    890,    26800,    27445,    27877,      78,     146,  12.91,    0.5,  00:10:38
    900,    28256,    28719,    29285,      74,     149,  12.89,    0.5,  00:10:49
    910,    27361,    27951,    28365,      70,     158,  12.91,    0.5,  00:11:00
    920,    14211,    23366,    28014,      78,     146,  12.91,    0.5,  00:11:14
    930,    14219,    22985,    28017,      69,     154,  12.81,    0.5,  00:11:29
    940,    25931,    26875,    27440,      72,     154,  12.91,    0.5,  00:11:40
    950,    13828,    18512,    27503,      69,     158,  12.90,    0.5,  00:11:59
    960,    28257,    28657,    29189,      70,     160,  12.87,    0.5,  00:12:10
    970,    27522,    27800,    28212,      81,     155,  12.89,    0.4,  00:12:21
    980,    14196,    22523,    27575,      79,     162,  12.90,    0.4,  00:12:36
    990,    27067,    27795,    28332,      70,     156,  12.90,    0.4,  00:12:47
   1000,    13763,    23302,    28235,      71,     150,  12.90,    0.5,  00:13:02
-------------------------------------------------------------------------------
min:3611319   avg:3769144   max:3895827 Time:906 second(s) [00:15:06]
-------------------------------------------------------------------------------
CPU jiffies:   user:21674   kernel:45470   total:67144 
