===============================================================================
G-WAN ApacheBench / Weighttp / HTTPerf wrapper       http://gwan.ch/source/ab.c
-------------------------------------------------------------------------------
Now: Mon Sep 19 21:57:52 2016
CPU: 1 x 6-Core CPU(s) Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz
RAM: 19.15/31.32 (Free/Total, in GB)
OS : Linux x86_64 v#136-Ubuntu SMP Fri Jun 10 19:19:24 UTC 2016 3.13.0-89-generic
     Ubuntu 14.04.4 LTS \n \l
abc: max open sockets: 1000000


weighttp -n 100000 -c [0-1000 step:10 rounds:3] -t 6 -k "http://127.0.0.1:80/index.html"

=> HTTP/1.1 200 OK
   Server: nginx/1.4.7
   Date: Mon, 19 Sep 2016 13:57:52 GMT
   Content-Type: text/html
   Content-Length: 612
   Last-Modified: Mon, 19 Sep 2016 09:00:05 GMT
   Connection: close
   ETag: "57dfa915-264"
   Accept-Ranges: bytes

 Number        Requests per second
   of     ----------------------------
Clients      min       ave       max         Time
--------  --------  --------  --------  --------------
      1,    75668,    79333,    84583,   21:57:56
     10,    85246,    93229,   100510,   21:57:59
     20,   115843,   125187,   134305,   21:58:01
     30,   124429,   133359,   142505,   21:58:04
     40,   114782,   132490,   147570,   21:58:06
     50,   113022,   120958,   125581,   21:58:08
     60,   121241,   126275,   133799,   21:58:11
     70,   120596,   122126,   124247,   21:58:13
     80,   123436,   127576,   133711,   21:58:16
     90,   117080,   124650,   130630,   21:58:18
    100,   121013,   131771,   142276,   21:58:20
    110,   117948,   128695,   137397,   21:58:23
    120,   114745,   122745,   132310,   21:58:25
    130,   113504,   114799,   115761,   21:58:28
    140,   117941,   124479,   134521,   21:58:30
    150,   115395,   121437,   127512,   21:58:33
    160,   120651,   132879,   143830,   21:58:35
    170,   118911,   120745,   124369,   21:58:37
    180,   121998,   127677,   135283,   21:58:40
    190,   103065,   115650,   124438,   21:58:42
    200,   119709,   126358,   129996,   21:58:45
    210,   117846,   122234,   126516,   21:58:47
    220,   116633,   121055,   125683,   21:58:50
    230,   120344,   125425,   135421,   21:58:52
    240,   110482,   128635,   145645,   21:58:54
    250,   114083,   120903,   132752,   21:58:57
    260,   108965,   117029,   123694,   21:59:00
    270,   110396,   124103,   132870,   21:59:02
    280,   115136,   122819,   127017,   21:59:04
    290,   118212,   130321,   142974,   21:59:07
    300,   124638,   132061,   138488,   21:59:09
    310,   111168,   122764,   131761,   21:59:11
    320,   113167,   125202,   141668,   21:59:14
    330,   108686,   129755,   145613,   21:59:16
    340,   116737,   126767,   135551,   21:59:19
    350,   109821,   119259,   127432,   21:59:21
    360,   121313,   127628,   134037,   21:59:24
    370,   113319,   123935,   132559,   21:59:26
    380,    94343,   109365,   117434,   21:59:29
    390,   118294,   126198,   140947,   21:59:31
    400,   110968,   132721,   148871,   21:59:33
    410,   109987,   127777,   147217,   21:59:36
    420,   121252,   122941,   125565,   21:59:38
    430,   118571,   125282,   136699,   21:59:41
    440,   114497,   122525,   127673,   21:59:43
    450,   122574,   127662,   133579,   21:59:45
    460,   121791,   125751,   128174,   21:59:48
    470,   126341,   129241,   133533,   21:59:50
    480,   120953,   125124,   128353,   21:59:53
    490,   111461,   122892,   129513,   21:59:55
    500,   121791,   127768,   132401,   21:59:57
    510,   109506,   118072,   133815,   22:00:00
    520,   122884,   130275,   137886,   22:00:02
    530,    77571,   101356,   143672,   22:00:05
    540,   114459,   137348,   157785,   22:00:08
    550,    80256,    98585,   133490,   22:00:11
    560,    69999,   118791,   144408,   22:00:14
    570,    67034,   101542,   119441,   22:00:17
    580,    72929,   126286,   160764,   22:00:20
    590,    80832,   123613,   156948,   22:00:22
    600,    69690,   110177,   166479,   22:00:25
    610,    66603,   105492,   170518,   22:00:29
    620,    67727,   100130,   146191,   22:00:32
    630,    68588,   110001,   175359,   22:00:35
    640,    72226,    87440,    97611,   22:00:39
    650,    68055,   103685,   160908,   22:00:42
    660,    67187,    85129,    98620,   22:00:46
    670,    67627,   100871,   156967,   22:00:49
    680,    69874,    76384,    83001,   22:00:53
    690,    93246,    95286,    96875,   22:00:56
    700,    96230,   120237,   166802,   22:00:59
    710,    66856,    77455,    97821,   22:01:03
    720,    72304,    84104,    97999,   22:01:07
    730,    67378,    88012,    98632,   22:01:10
    740,    33137,    62851,    82111,   22:01:16
    750,    72210,    88781,    98246,   22:01:19
    760,    67152,    83529,    92886,   22:01:23
    770,    89776,    94614,    97481,   22:01:26
    780,    33082,    67010,    85616,   22:01:31
    790,    69311,   111926,   173641,   22:01:35
    800,    69729,    74662,    82185,   22:01:39
    810,    33062,    72018,    95083,   22:01:44
    820,    68468,    74175,    82115,   22:01:48
    830,    67345,    75818,    82198,   22:01:52
    840,    33104,    59885,    76786,   22:01:58
    850,    33126,    59844,    76854,   22:02:03
    860,    33101,    65170,    81801,   22:02:09
    870,    33166,    71084,    97673,   22:02:14
    880,    33152,    61257,    81443,   22:02:20
    890,    33155,    65689,    82037,   22:02:25
    900,    32961,    44580,    67729,   22:02:33
    910,    33078,    47979,    77740,   22:02:40
    920,    33017,    33071,    33133,   22:02:49
    930,    31044,    32372,    33085,   22:02:59
    940,    56481,    70676,    82033,   22:03:03
    950,    33014,    33087,    33185,   22:03:12
    960,    33044,    33049,    33057,   22:03:21
    970,    30999,    32309,    33013,   22:03:30
    980,    31024,    62307,    82133,   22:03:36
    990,    71506,    75965,    80495,   22:03:40
   1000,    13825,    47700,    96201,   22:03:51
-------------------------------------------------------------------------------
min:8871122   avg:10399239   max:11936726 Time:359 second(s) [00:05:59]
-------------------------------------------------------------------------------
 
