===============================================================================
G-WAN ApacheBench / Weighttp / HTTPerf wrapper       http://gwan.ch/source/ab.c
-------------------------------------------------------------------------------
Now: Mon Sep 19 23:14:50 2016
CPU: 1 x 6-Core CPU(s) Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz
RAM: 0.29/31.32 (Free/Total, in GB)
OS : Linux x86_64 v#136-Ubuntu SMP Fri Jun 10 19:19:24 UTC 2016 3.13.0-89-generic
     Ubuntu 14.04.4 LTS \n \l
abc: max open sockets: 1000000

> Server 'nginx' process topology:
---------------------------------------------
  4] pid:135042 Process RAM: 3.98 MB
  3] pid:135041 Process RAM: 3.97 MB
  2] pid:135040 Process RAM: 3.98 MB
  1] pid:135039 Process RAM: 3.98 MB
  0] pid:135038 Process RAM: 0.77 MB
---------------------------------------------
Total 'nginx' server footprint: 16.67 MB
/home/hzh/nginx/out/sbin/nginx
nginx version: nginx/1.4.7

weighttp -n 100000 -c [0-1000 step:10 rounds:3] -t 6 -k "http://127.0.0.1:80/index.html"

=> HTTP/1.1 200 OK
   Server: nginx/1.4.7
   Date: Mon, 19 Sep 2016 15:14:51 GMT
   Content-Type: text/html
   Content-Length: 612
   Last-Modified: Mon, 19 Sep 2016 09:00:05 GMT
   Connection: close
   ETag: "57dfa915-264"
   Accept-Ranges: bytes

 Number        Requests per second            CPU               RAM
   of     ----------------------------  ----------------  --------------
Clients      min       ave       max      user    kernel  SRV MB  SYS MB    Time
--------  --------  --------  --------  -------  -------  ------  ------  --------
      1,    63478,    71091,    80206,      55,     150,  17.65,    0.1,  23:14:55
     10,    86741,    92460,    97911,      63,     177,  17.65,    0.1,  23:14:58
     20,    95176,   109511,   135244,      72,     193,  17.65,    0.1,  23:15:01
     30,    94428,   107175,   117139,      74,     197,  17.65,    0.1,  23:15:04
     40,    97247,    99027,   100211,      46,     161,  17.65,    0.1,  23:15:07
     50,    85305,    92512,   103802,      39,     110,  17.65,    0.1,  23:15:11
     60,    85688,    96271,   101565,      78,     193,  17.65,    0.1,  23:15:14
     70,    84487,    93310,    98102,      44,     130,  17.65,    0.1,  23:15:17
     80,    99173,   110214,   123342,      50,     132,  17.65,    0.1,  23:15:20
     90,    77611,    84891,    89354,      53,     154,  17.65,    0.0,  23:15:24
    100,    84489,   105958,   119703,      84,     226,  17.65,    0.0,  23:15:27
    110,    83898,   101484,   111835,      76,     209,  17.65,    0.0,  23:15:30
    120,    94552,    96581,    98604,      60,     158,  18.16,    0.0,  23:15:33
    130,    99114,   100504,   102436,      61,     154,  18.16,    0.0,  23:15:36
    140,    89289,    97240,   102840,      69,     188,  18.43,    0.0,  23:15:40
    150,    96854,    98615,   101264,      56,     153,  18.43,    0.0,  23:15:43
    160,    86724,    95161,   101020,      51,     129,  18.43,    0.0,  23:15:46
    170,   101798,   108112,   111979,      48,     137,  18.43,    0.0,  23:15:49
    180,    89829,    98853,   108627,      38,     101,  18.46,    0.0,  23:15:52
    190,    91746,    96272,    99017,      65,     187,  18.75,    0.0,  23:15:56
    200,    84313,   100777,   119657,      79,     230,  18.75,    0.0,  23:15:59
    210,   106407,   108460,   112184,      67,     176,  18.75,    0.0,  23:16:02
    220,   101564,   106952,   115209,      57,     146,  18.75,    0.0,  23:16:05
    230,    82859,    98440,   123949,      39,     100,  18.75,    0.0,  23:16:08
    240,    97680,   101301,   103765,      66,     159,  18.80,    0.0,  23:16:11
    250,    97800,    99237,    99990,      64,     155,  18.77,    0.0,  23:16:14
    260,   102294,   107474,   113811,      51,     134,  18.77,    0.0,  23:16:17
    270,    87054,   104751,   122904,      52,     134,  18.77,    0.0,  23:16:21
    280,   104463,   107636,   113978,      70,     170,  18.77,    0.0,  23:16:24
    290,    96669,    99088,   101128,      59,     162,  18.77,    0.0,  23:16:27
    300,    92583,   101243,   108914,      44,      97,  18.77,    0.0,  23:16:30
    310,    96029,   103941,   116881,      74,     187,  18.77,    0.0,  23:16:33
    320,    98331,   104664,   113993,      61,     162,  18.77,    0.0,  23:16:36
    330,    99991,   105705,   113696,      72,     153,  18.78,    0.0,  23:16:39
    340,    87159,   102532,   118268,      50,     116,  18.78,    0.0,  23:16:43
    350,   105424,   107861,   111075,      56,     145,  18.91,    0.0,  23:16:46
    360,   105749,   113208,   117581,      64,     160,  18.78,    0.0,  23:16:49
    370,    89433,   103854,   114052,      42,      97,  18.78,    0.0,  23:16:52
    380,    97826,   108859,   123005,      51,     155,  18.78,    0.0,  23:16:55
    390,   101008,   102912,   104206,      64,     157,  18.78,    0.0,  23:16:58
    400,    96711,   100416,   103571,      67,     172,  18.78,    0.0,  23:17:01
    410,   105418,   112884,   119070,      63,     185,  18.78,    0.0,  23:17:04
    420,   105115,   106867,   108664,      61,     150,  18.78,    0.0,  23:17:07
    430,    90164,   108077,   117208,      36,     104,  18.78,    0.0,  23:17:11
    440,   101107,   111025,   123409,      53,     147,  18.78,    0.0,  23:17:14
    450,    89327,   100597,   112822,      55,     165,  18.78,    0.0,  23:17:17
    460,    82678,   105512,   128210,      50,     139,  18.78,    0.0,  23:17:20
    470,   104212,   109161,   116833,      61,     153,  18.78,    0.0,  23:17:23
    480,    99584,   101812,   104299,      55,     152,  18.78,    0.0,  23:17:27
    490,    91886,   106765,   128863,      43,      95,  18.78,    0.0,  23:17:30
    500,   106931,   116143,   122943,      63,     173,  18.78,    0.0,  23:17:33
    510,   111445,   116827,   119639,      61,     164,  18.78,    0.0,  23:17:36
    520,    99491,   109485,   129357,      60,     148,  18.78,    0.0,  23:17:39
    530,    76438,   111690,   138093,      87,     231,  18.78,    0.0,  23:17:42
    540,    73736,   101715,   151553,      81,     199,  18.82,    0.0,  23:17:46
    550,    84258,    99624,   109224,      59,     164,  18.78,    0.0,  23:17:49
    560,    69048,    74895,    81105,      64,     146,  18.78,    0.0,  23:17:54
    570,    73013,    89677,   112879,      54,     137,  18.78,    0.0,  23:17:57
    580,    76217,   101028,   146210,      72,     160,  18.78,    0.0,  23:18:01
    590,    67553,    70556,    75154,      60,     172,  18.78,    0.0,  23:18:06
    600,    73323,   118599,   151817,      83,     192,  18.78,    0.0,  23:18:09
    610,    70840,    71708,    73229,      53,     147,  18.78,    0.0,  23:18:14
    620,    73387,    77599,    81601,      50,     128,  18.78,    0.0,  23:18:18
    630,    73458,    82805,    98031,      58,     149,  18.78,    0.0,  23:18:22
    640,    70321,    74933,    80430,      67,     182,  18.78,    0.0,  23:18:27
    650,    57696,    74526,    91400,      74,     195,  18.78,    0.0,  23:18:31
    660,    67964,    72409,    76673,      52,     156,  18.78,    0.0,  23:18:36
    670,    73211,    88898,   113242,      58,     140,  18.78,    0.0,  23:18:40
    680,    75468,    84679,    97159,      68,     178,  18.78,    0.0,  23:18:44
    690,    75452,    97657,   140352,      51,     142,  18.78,    0.0,  23:18:48
    700,    54974,    65197,    72172,      63,     186,  18.78,    0.0,  23:18:53
    710,    74773,    76390,    77290,      57,     133,  18.78,    0.0,  23:18:58
    720,    71617,    80560,    97713,      42,     130,  18.78,    0.0,  23:19:02
